Rank,EWC,ENC,Country,Player,China,France,USA,Brazil,Greece,? #6,? #7,? #8,? #9,? #10,
1,,(#1),Australia,AR_Mudda,1000(#1),1000(#1),24(#41),40(#30),,,,,,,2064
2,,(#2),Canada,CarlJr.,80(#13),500(#4),52(#24),1000(#1),,,,,,,1632
3,,(#3),Germany,MASSA_,400(#5),6(#59),400(#5),700(#2),,,,,,,1506
4,,(#4),France,Binkss.,700(#2),100(#8),10(#55),600(#3),,,,,,,1410
5,,,France,WosileTM,64(#17),20(#45),1000(#1),300(#6),,,,,,,1384
6,,,Germany,GranaDy.,600(#3),64(#18),200(#7),56(#21),,,,,,,920
7,,,France,BrenTM,48(#25),48(#25),700(#2),92(#10),,,,,,,888
8,,,France,Nayko.TM,92(#10),700(#2),18(#48),,,,,,,,810
9,,(#5),United Kingdom,Epos.,44(#28),400(#5),300(#6),8(#58),,,,,,,752
10,,,France,Otaaaq,2(#64),72(#15),600(#3),26(#40),,,,,,,700
11,,,France,Gwenn.,500(#4),8(#57),68(#16),100(#8),,,,,,,676
12,,,France,XerarTM,20(#46),600(#3),52(#23),,,,,,,,672
13,,(#6),Belgium,Scrapie98,26(#39),56(#22),500(#4),36(#31),,,,,,,618
14,,(#7),Czechia,eLconn21,56(#21),88(#11),8(#57),400(#5),,,,,,,552
15,,,France,Tona.,,,26(#40),500(#4),,,,,,,526
16,,,France,Heav.3Y,300(#6),68(#16),64(#18),32(#33),,,,,,,464
17,,,France,Legu18,36(#31),300(#6),60(#19),44(#28),,,,,,,440
18,,,United Kingdom,Whizzy..,200(#7),24(#41),12(#54),200(#7),,,,,,,436
19,,,United Kingdom,josh1248,24(#42),200(#7),76(#14),88(#11),,,,,,,388
20,,,United Kingdom,jdon.,100(#8),26(#39),84(#12),68(#16),,,,,,,278
21,,(#8),Hungary,pusztitopako,88(#11),84(#12),92(#10),2(#64),,,,,,,266
22,,,United Kingdom,PacTM,18(#48),44(#27),96(#9),72(#15),,,,,,,230
23,,,Belgium,Soulja...,68(#16),30(#35),48(#25),60(#19),,,,,,,206
24,,(#9),Netherlands,Stufts.,96(#9),,,96(#9),,,,,,,192
25,,,France,Cocow_,76(#14),22(#43),72(#15),22(#43),,,,,,,192
26,,,France,Melioo.-,20(#45),12(#54),100(#8),52(#24),,,,,,,184
27,,,France,Azion.,30(#36),92(#10),8(#58),52(#23),,,,,,,182
28,,(#10),Russia,NiTech91,6(#59),64(#17),28(#37),80(#13),,,,,,,178
29,,(#11),Poland,RotakeR.,22(#43),96(#9),22(#43),28(#38),,,,,,,168
30,,(#12),Switzerland,AffiTM,72(#15),76(#14),6(#60),10(#55),,,,,,,164
31,,,France,Glast.BS,60(#20),52(#23),2(#64),48(#25),,,,,,,162
32,,,France,Snow.qlf,56(#22),60(#19),40(#30),4(#61),,,,,,,160
33,,,Germany,Letzter_,84(#12),28(#37),22(#44),18(#47),,,,,,,152
34,,,Czechia,Hyll-TM,60(#19),,44(#27),48(#26),,,,,,,152
35,,,Germany,NuPrime_TM,,10(#55),80(#13),60(#20),,,,,,,150
36,,(#13),Croatia,Razii.,52(#24),40(#30),56(#21),,,,,,,,148
37,,(#14),Colombia,charles-..,40(#30),52(#24),36(#31),20(#45),,,,,,,148
38,,,Poland,mime-,40(#29),44(#28),32(#33),26(#39),,,,,,,142
39,,(#15),United States,FlimsyTM,16(#49),24(#42),32(#34),64(#18),,,,,,,136
40,,,Poland,neon.09,30(#35),18(#47),4(#61),76(#14),,,,,,,128
41,,(#16),Slovenia,Jann.-,16(#50),80(#13),,30(#36),,,,,,,126
42,,,France,WorkerTM,32(#33),56(#21),30(#35),,,,,,,,118
43,,,Netherlands,Spammiej,64(#18),,40(#29),12(#53),,,,,,,116
44,,,Sweden,Molle_.,,60(#20),,56(#22),,,,,,,116
45,,,Belgium,Eria-.,22(#44),,88(#11),,,,,,,,110
46,,,Slovakia,tweenTM,44(#27),32(#34),4(#62),22(#44),,,,,,,102
47,,,France,Tjalic.BS,32(#34),36(#31),,32(#34),,,,,,,100
48,,,New Zealand,J_Swag,12(#54),20(#46),60(#20),4(#62),,,,,,,96
49,,,Türkiye,BirdieTM,,40(#29),24(#42),24(#41),,,,,,,88
50,,,Russia,Bimy..,,,,84(#12),,,,,,,84
51,,,Türkiye,Cemkoo,52(#23),16(#50),,14(#51),,,,,,,82
52,,,Canada,L1ngotm,10(#56),14(#51),56(#22),2(#63),,,,,,,82
53,,,Germany,JanTM-,,36(#32),14(#51),30(#35),,,,,,,80
54,,,Poland,Evon-,,48(#26),14(#52),6(#60),,,,,,,68
55,,,United States,Kakne..,,4(#62),,64(#17),,,,,,,68
56,,,Portugal,Yekcosdo,28(#38),,36(#32),,,,,,,,64
57,,,France,tricky-.,,,64(#17),,,,,,,,64
58,,,Czechia,bestie77,14(#51),32(#33),,16(#50),,,,,,,62
59,,,France,Dionysos.TM.,4(#61),,44(#28),12(#54),,,,,,,60
60,,,Argentina,noiszia,48(#26),,,8(#57),,,,,,,56
61,,,Morocco,ender---,10(#55),,,44(#27),,,,,,,54
62,,,Germany,Dog..,24(#41),28(#38),,,,,,,,,52
63,,,Norway,Cinxsss,,26(#40),,24(#42),,,,,,,50
64,,,France,MimoJr.,,,48(#26),,,,,,,,48
65,,,France,FeedTM,14(#52),,,28(#37),,,,,,,42
66,,,United States,neal..,12(#53),30(#36),,,,,,,,,42
67,,,Poland,Magorian0212,28(#37),10(#56),2(#63),,,,,,,,40
68,,,Germany,Mobbi._.,26(#40),14(#52),,,,,,,,,40
69,,,Germany,Goldennugg3t,,,,40(#29),,,,,,,40
70,,,Türkiye,HusoTM,36(#32),,,,,,,,,,36
71,,,France,AurelTM.,,,,36(#32),,,,,,,36
72,,,France,Richie1308,,,30(#36),,,,,,,,30
73,,,Poland,keyTM,,18(#48),,10(#56),,,,,,,28
74,,,Poland,Tomczan.,,,28(#38),,,,,,,,28
75,,,France,Haedra.,,,26(#39),,,,,,,,26
76,,,Slovakia,raizo_O,,22(#44),,,,,,,,,22
77,,,Italy,Kurisu-tina_,,,16(#49),6(#59),,,,,,,22
78,,,Portugal,Pika.2s,,,20(#45),,,,,,,,20
79,,,Portugal,PauLL__,,,20(#46),,,,,,,,20
80,,,France,linkTM_,,,,20(#46),,,,,,,20
81,,,Germany,purple_tm,18(#47),,,,,,,,,,18
82,,,France,Panda.TM.,8(#57),,10(#56),,,,,,,,18
83,,,Italy,AwayFridish,,,18(#47),,,,,,,,18
84,,,Hungary,Ricso5,,,,18(#48),,,,,,,18
85,,,Germany,oNioTM,,16(#49),,,,,,,,,16
86,,,New Zealand,baiwack,,2(#64),,14(#52),,,,,,,16
87,,,Germany,BarbosTM,,,16(#50),,,,,,,,16
88,,,Israel,TaMaR...,,,,16(#49),,,,,,,16
89,,,Poland,Narcorek,,8(#58),6(#59),,,,,,,,14
90,,,United States,Liquid.v2,,12(#53),,,,,,,,,12
91,,,Sweden,Brinkenn,,,12(#53),,,,,,,,12
92,,,France,EnerValencia,8(#58),,,,,,,,,,8
93,,,Netherlands,Javzo,6(#60),,,,,,,,,,6
94,,,France,chamow,,6(#60),,,,,,,,,6
95,,,India,Spark.__.,4(#62),,,,,,,,,,4
96,,,Norway,Intax,,4(#61),,,,,,,,,4
97,,,France,V1NCH.,2(#63),,,,,,,,,,2
98,,,Poland,Demotivator13,,2(#63),,,,,,,,,2