Rank,EWC,ENC,Country,Player,china,france,usa,brazil,greece,? #6,? #7,? #8,? #9,? #10,
1,,(#1),France,Binkss.,700(#2),100(#8),10(#55),600(#3),1000(#1),,,,,,2410
2,,(#2),Australia,AR_Mudda,1000(#1),1000(#1),24(#41),40(#30),300(#6),,,,,,2364
3,,(#3),Canada,CarlJr.,80(#13),500(#4),52(#24),1000(#1),400(#5),,,,,,2032
4,,(#4),Germany,GranaDy.,600(#3),64(#18),200(#7),56(#21),700(#2),,,,,,1620
5,,,Germany,MASSA_,400(#5),6(#59),400(#5),700(#2),64(#18),,,,,,1570
6,,,France,WosileTM,64(#17),20(#45),1000(#1),300(#6),32(#34),,,,,,1416
7,,,France,BrenTM,48(#25),48(#25),700(#2),92(#10),96(#9),,,,,,984
8,,,France,Nayko.TM,92(#10),700(#2),18(#48),,72(#15),,,,,,882
9,,(#5),United Kingdom,Epos.,44(#28),400(#5),300(#6),8(#58),100(#8),,,,,,852
10,,,France,Otaaaq,2(#64),72(#15),600(#3),26(#40),88(#11),,,,,,788
11,,,France,Gwenn.,500(#4),8(#57),68(#16),100(#8),76(#14),,,,,,752
12,,(#6),Poland,mime-,40(#29),44(#28),32(#33),26(#39),600(#3),,,,,,742
13,,,United Kingdom,PacTM,18(#48),44(#27),96(#9),72(#15),500(#4),,,,,,730
14,,(#7),Belgium,Scrapie98,26(#39),56(#22),500(#4),36(#31),64(#17),,,,,,682
15,,,France,XerarTM,20(#46),600(#3),52(#23),,,,,,,,672
16,,(#8),Czechia,eLconn21,56(#21),88(#11),8(#57),400(#5),84(#12),,,,,,636
17,,,France,Tona.,,,26(#40),500(#4),,,,,,,526
18,,,France,Heav.3Y,300(#6),68(#16),64(#18),32(#33),36(#31),,,,,,500
19,,,United Kingdom,Whizzy..,200(#7),24(#41),12(#54),200(#7),44(#27),,,,,,480
20,,,France,Legu18,36(#31),300(#6),60(#19),44(#28),26(#39),,,,,,466
21,,,United Kingdom,josh1248,24(#42),200(#7),76(#14),88(#11),12(#54),,,,,,400
22,,(#9),Sweden,Molle_.,,60(#20),,56(#22),200(#7),,,,,,316
23,,,United Kingdom,jdon.,100(#8),26(#39),84(#12),68(#16),22(#44),,,,,,300
24,,(#10),Hungary,pusztitopako,88(#11),84(#12),92(#10),2(#64),24(#41),,,,,,290
25,,,Belgium,Soulja...,68(#16),30(#35),48(#25),60(#19),80(#13),,,,,,286
26,,(#11),Netherlands,Stufts.,96(#9),,,96(#9),60(#20),,,,,,252
27,,,Germany,Letzter_,84(#12),28(#37),22(#44),18(#47),92(#10),,,,,,244
28,,,France,Azion.,30(#36),92(#10),8(#58),52(#23),56(#22),,,,,,238
29,,,France,Cocow_,76(#14),22(#43),72(#15),22(#43),30(#35),,,,,,222
30,,,Germany,NuPrime_TM,,10(#55),80(#13),60(#20),68(#16),,,,,,218
31,,,France,Snow.qlf,56(#22),60(#19),40(#30),4(#61),56(#21),,,,,,216
32,,(#12),Switzerland,AffiTM,72(#15),76(#14),6(#60),10(#55),44(#28),,,,,,208
33,,,Czechia,Hyll-TM,60(#19),,44(#27),48(#26),48(#25),,,,,,200
34,,,France,Melioo.-,20(#45),12(#54),100(#8),52(#24),4(#61),,,,,,188
35,,(#13),Russia,NiTech91,6(#59),64(#17),28(#37),80(#13),10(#56),,,,,,188
36,,,France,Glast.BS,60(#20),52(#23),2(#64),48(#25),24(#42),,,,,,186
37,,(#14),Croatia,Razii.,52(#24),40(#30),56(#21),,28(#38),,,,,,176
38,,(#15),Colombia,charles-..,40(#30),52(#24),36(#31),20(#45),28(#37),,,,,,176
39,,,Poland,RotakeR.,22(#43),96(#9),22(#43),28(#38),,,,,,,168
40,,,France,Tjalic.BS,32(#34),36(#31),,32(#34),52(#24),,,,,,152
41,,,Netherlands,Spammiej,64(#18),,40(#29),12(#53),30(#36),,,,,,146
42,,,Poland,neon.09,30(#35),18(#47),4(#61),76(#14),16(#49),,,,,,144
43,,(#16),Türkiye,Cemkoo,52(#23),16(#50),,14(#51),60(#19),,,,,,142
44,,,United States,FlimsyTM,16(#49),24(#42),32(#34),64(#18),,,,,,,136
45,,,Slovenia,Jann.-,16(#50),80(#13),,30(#36),6(#60),,,,,,132
46,,,Belgium,Eria-.,22(#44),,88(#11),,20(#46),,,,,,130
47,,,France,WorkerTM,32(#33),56(#21),30(#35),,,,,,,,118
48,,,Slovakia,tweenTM,44(#27),32(#34),4(#62),22(#44),12(#53),,,,,,114
49,,,Russia,Bimy..,,,,84(#12),14(#51),,,,,,98
50,,,New Zealand,J_Swag,12(#54),20(#46),60(#20),4(#62),,,,,,,96
51,,,Canada,L1ngotm,10(#56),14(#51),56(#22),2(#63),14(#52),,,,,,96
52,,,Türkiye,BirdieTM,,40(#29),24(#42),24(#41),,,,,,,88
53,,,France,MimoJr.,,,48(#26),,36(#32),,,,,,84
54,,,Argentina,noiszia,48(#26),,,8(#57),26(#40),,,,,,82
55,,,Portugal,Yekcosdo,28(#38),,36(#32),,18(#47),,,,,,82
56,,,France,FeedTM,14(#52),,,28(#37),40(#29),,,,,,82
57,,,Germany,JanTM-,,36(#32),14(#51),30(#35),,,,,,,80
58,,,Poland,Evon-,,48(#26),14(#52),6(#60),8(#57),,,,,,76
59,,,France,AurelTM.,,,,36(#32),40(#30),,,,,,76
60,,,United States,Kakne..,,4(#62),,64(#17),4(#62),,,,,,72
61,,,Portugal,Pika.2s,,,20(#45),,48(#26),,,,,,68
62,,,Germany,BarbosTM,,,16(#50),,52(#23),,,,,,68
63,,,France,tricky-.,,,64(#17),,,,,,,,64
64,,,Czechia,bestie77,14(#51),32(#33),,16(#50),,,,,,,62
65,,,France,Dionysos.TM.,4(#61),,44(#28),12(#54),,,,,,,60
66,,,Morocco,ender---,10(#55),,,44(#27),,,,,,,54
67,,,Germany,Dog..,24(#41),28(#38),,,,,,,,,52
68,,,Norway,Cinxsss,,26(#40),,24(#42),,,,,,,50
69,,,United States,neal..,12(#53),30(#36),,,,,,,,,42
70,,,Poland,Magorian0212,28(#37),10(#56),2(#63),,,,,,,,40
71,,,Germany,Mobbi._.,26(#40),14(#52),,,,,,,,,40
72,,,Germany,Goldennugg3t,,,,40(#29),,,,,,,40
73,,,France,Richie1308,,,30(#36),,8(#58),,,,,,38
74,,,Türkiye,HusoTM,36(#32),,,,,,,,,,36
75,,,France,Holo099,,,,,32(#33),,,,,,32
76,,,Poland,keyTM,,18(#48),,10(#56),,,,,,,28
77,,,Poland,Tomczan.,,,28(#38),,,,,,,,28
78,,,Italy,AwayFridish,,,18(#47),,10(#55),,,,,,28
79,,,France,Haedra.,,,26(#39),,,,,,,,26
80,,,Slovakia,raizo_O,,22(#44),,,,,,,,,22
81,,,Italy,Kurisu-tina_,,,16(#49),6(#59),,,,,,,22
82,,,Lithuania,AurisTFG,,,,,22(#43),,,,,,22
83,,,Poland,Narcorek,,8(#58),6(#59),,6(#59),,,,,,20
84,,,Portugal,PauLL__,,,20(#46),,,,,,,,20
85,,,France,linkTM_,,,,20(#46),,,,,,,20
86,,,France,Dark.BS,,,,,20(#45),,,,,,20
87,,,Germany,purple_tm,18(#47),,,,,,,,,,18
88,,,France,Panda.TM.,8(#57),,10(#56),,,,,,,,18
89,,,Hungary,Ricso5,,,,18(#48),,,,,,,18
90,,,Belgium,SkandeaR,,,,,18(#48),,,,,,18
91,,,Germany,oNioTM,,16(#49),,,,,,,,,16
92,,,New Zealand,baiwack,,2(#64),,14(#52),,,,,,,16
93,,,Israel,TaMaR...,,,,16(#49),,,,,,,16
94,,,Italy,Bobo247_,,,,,16(#50),,,,,,16
95,,,United States,Liquid.v2,,12(#53),,,,,,,,,12
96,,,Sweden,Brinkenn,,,12(#53),,,,,,,,12
97,,,France,EnerValencia,8(#58),,,,,,,,,,8
98,,,Netherlands,Javzo,6(#60),,,,,,,,,,6
99,,,France,chamow,,6(#60),,,,,,,,,6
100,,,India,Spark.__.,4(#62),,,,,,,,,,4
101,,,Norway,Intax,,4(#61),,,,,,,,,4
102,,,France,REZAAISBACK,2(#63),,,,,,,,,,2
103,,,Poland,Demotivator13,,2(#63),,,,,,,,,2
104,,,World,propanoia,,,,,2(#63),,,,,,2
105,,,Portugal,watson.,,,,,2(#64),,,,,,2